Ders Kodu;Öğretim Üyesi;Grup;Süre;Ek Bilgi;Atanmış Zaman-Mekan
BLM112;BLM112 Dr. Öğr. Üyesi Tarık Yerlikaya;1AB;2 saat;;Pazartesi 08:30 - 10:30 A2 ()
BLM112;BLM112 Dr. Öğr. Üyesi Tarık Yerlikaya;1AB;1 saat;;Pazartesi 10:30 - 12:30 A2 ()
BLM113;BLM113 Dr. Öğr. Üyesi Cem Taşkın;1AB;1 saat;;Cuma 13:30 - 15:30 A2 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1A;2 saat;;Salı 08:30 - 10:30 D103 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1A;2 saat;;Çarşamba 10:30 - 12:30 L208 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1B;2 saat;;Salı 10:30 - 12:30 D103 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1B;2 saat;;Çarşamba 08:30 - 10:30 L208 ()
BLM212;BLM212 Dr. Öğr. Üyesi Andaç Şahin Mesut Birleştirici Dil ile Programlama;2A;2 saat;;Pazartesi 08:30 - 10:30 D103 ()
BLM212;BLM212 Dr. Öğr. Üyesi Andaç Şahin Mesut Birleştirici Dil ile Programlama;2A;2 saat;;Pazartesi 10:30 - 12:30 L208 ()
BLM212;BLM212 Dr. Öğr. Üyesi Rembiye Kandemir Birleştirici Dil ile Programlama;2B;2 saat;;Pazartesi 10:30 - 12:30 D103 ()
BLM212;BLM212 Dr. Öğr. Üyesi Rembiye Kandemir Birleştirici Dil ile Programlama;2B;2 saat;;Çarşamba 13:30 - 15:30 L208 ()
BLM211;BLM211 Dr. Öğr. Üyesi Aydın Carus C ile Programlama;2A;2 saat;;Salı 10:30 - 12:30 S1 ()
